codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct
4205407,42,SC,Florianopolis,florianopolis,2019,500973,1.6219823642888098
4205407,42,SC,Florianopolis,florianopolis,2020,508826,1.567549548578473
4205407,42,SC,Florianopolis,florianopolis,2021,516524,1.5128943882584567
4314902,43,RS,Porto Alegre,porto alegre,2016,1469339,
4314902,43,RS,Porto Alegre,porto alegre,2017,1474262,0.33504861709925393
4314902,43,RS,Porto Alegre,porto alegre,2018,1479101,0.3282320238872094
4314902,43,RS,Porto Alegre,porto alegre,2019,1483771,0.31573232659567463
4314902,43,RS,Porto Alegre,porto alegre,2020,1488252,0.30200078044388956
4314902,43,RS,Porto Alegre,porto alegre,2021,1492530,0.28745131872827123
5002704,50,MS,Campo Grande,campo grande,2016,864903,
5002704,50,MS,Campo Grande,campo grande,2017,875239,1.195047305882846
5002704,50,MS,Campo Grande,campo grande,2018,885711,1.1964731918938654
5002704,50,MS,Campo Grande,campo grande,2019,895982,1.1596333341236553
5002704,50,MS,Campo Grande,campo grande,2020,906092,1.1283708824507688
5002704,50,MS,Campo Grande,campo grande,2021,916001,1.0935975596296998
5103403,51,MT,Cuiaba,cuiaba,2016,596358,
5103403,51,MT,Cuiaba,cuiaba,2017,601665,0.8899017033392687
5103403,51,MT,Cuiaba,cuiaba,2018,607153,0.9121354906800327
5103403,51,MT,Cuiaba,cuiaba,2019,612547,0.8884086877607444
5103403,51,MT,Cuiaba,cuiaba,2020,617848,0.8654029813222497
5103403,51,MT,Cuiaba,cuiaba,2021,623614,0.9332392433090364
5208707,52,GO,Goiania,goiania,2016,1454256,
5208707,52,GO,Goiania,goiania,2017,1474900,1.4195574919408926
5208707,52,GO,Goiania,goiania,2018,1495705,1.410604108753133
5208707,52,GO,Goiania,goiania,2019,1516113,1.364440180383153
5208707,52,GO,Goiania,goiania,2020,1536097,1.318107555307546
5208707,52,GO,Goiania,goiania,2021,1555626,1.2713389844521528
5300108,53,DF,Brasilia,brasilia,2016,2890224,
5300108,53,DF,Brasilia,brasilia,2017,2931057,1.4127970704000736
5300108,53,DF,Brasilia,brasilia,2018,2974703,1.4890873838345753
5300108,53,DF,Brasilia,brasilia,2019,3015268,1.3636655491321426
5300108,53,DF,Brasilia,brasilia,2020,3055149,1.3226353345705988
5300108,53,DF,Brasilia,brasilia,2021,3094325,1.2822942514423952
