codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct,ano_referencia_idhm,idhm,idhm_renda,idhm_educacao,idhm_longevidade,ideb,fluxo,aprendizado,nota_mt,nota_lp,crimes_total_indicadores,mortes_violentas_intencionais,homicidios_dolosos,feminicidios,estupros,furto_veiculos,taxa_crimes_100k,taxa_mortes_violentas_100k,taxa_homicidios_100k,taxa_feminicidios_100k,taxa_estupros_100k,taxa_furto_veiculos_100k,lag_1_taxa_crimes_100k,lag_1_taxa_mortes_violentas_100k,variacao_taxa_crimes_100k_pct,risco_indice
1721000,17,TO,Palmas,palmas,2021,313349,2.302674537049132,2010,0.788,0.789,0.749,0.827,4.2,0.9531,4.4358,265.96,267.93,817.0,70,55,7.0,157.0,460.0,260.7316442688504,22.33930856648657,17.552313873668016,2.233930856648657,50.10387778483416,146.8011705797689,267.3884085982187,33.62760205813984,-2.4895485800100037,0.4991456711283565
2111300,21,MA,Sao Luis,sao luis,2016,1079751,,2010,0.768,0.741,0.752,0.813,,,,,,2984.0,560,498,0.0,224.0,487.0,276.3600126325421,51.86380934122774,46.12174473559182,0.0,20.745523736491098,45.1029913378177,,,,0.3556986808999825
2111300,21,MA,Sao Luis,sao luis,2017,1087308,0.6998835842708218,2010,0.768,0.741,0.752,0.813,3.5,0.8789,4.0278,251.68,254.07,2377.0,473,403,0.0,272.0,539.0,218.61330920033697,43.50193321487564,37.06401498011603,0.0,25.015910855065904,49.57197040764898,276.3600126325421,51.86380934122774,-20.895462727086777,0.30961615825857003
2111300,21,MA,Sao Luis,sao luis,2018,1094667,0.6768091469942172,2010,0.768,0.741,0.752,0.813,,,,,,2243.0,297,256,0.0,209.0,735.0,204.90249546209031,27.131538632296397,23.386107373292518,0.0,19.092564222727095,67.14370671628906,218.61330920033697,43.50193321487564,-6.271719589442782,0.18875804642728067
2111300,21,MA,Sao Luis,sao luis,2019,1101884,0.6592872535666094,2010,0.768,0.741,0.752,0.813,3.8,0.915,4.1377,253.47,259.73,2480.0,264,204,8.0,275.0,748.0,225.0690635311884,23.958964827513604,18.51374554853324,0.726029237197382,24.95725502866,67.8837336779552,204.90249546209031,27.131538632296397,9.84203146165643,0.26083976107283496
2111300,21,MA,Sao Luis,sao luis,2020,1108975,0.6435341651208404,2010,0.768,0.741,0.752,0.813,,,,,,2166.0,280,246,6.0,187.0,654.0,195.31549403728667,25.248540318762824,22.182646137198766,0.5410401496877747,16.862417998602314,58.97337631596745,225.0690635311884,23.958964827513604,-13.21975087428161,0.2318432047042988
2111300,21,MA,Sao Luis,sao luis,2021,1115932,0.6273360535629768,2010,0.768,0.741,0.752,0.813,3.6,0.9032,4.0066,247.27,256.79,2635.0,254,212,3.0,204.0,682.0,236.1254986862999,22.761243516630046,18.997573328840826,0.26883358484208714,18.280683769261927,61.11483495410114,195.31549403728667,25.248540318762824,20.894402080165953,0.18645615454594977
2211001,22,PI,Teresina,teresina,2016,854589,,2010,0.751,0.731,0.707,0.82,,,,,,4206.0,367,341,0.0,226.0,1104.0,492.1664098180529,42.94462016244066,39.90222200379363,0.0,26.44546091747027,129.18490642870432,,,,0.3218791126208792
2211001,22,PI,Teresina,teresina,2017,857872,0.384161275186079,2010,0.751,0.731,0.707,0.82,3.6,0.8564,4.2467,263.14,257.94,3972.0,319,291,0.0,277.0,1143.0,463.00613611354606,37.18503459723595,33.92114441315255,0.0,32.28919932111084,133.23666001454762,492.1664098180529,42.94462016244066,-5.92488091889225,0.3000619211833635
2211001,22,PI,Teresina,teresina,2018,861442,0.4161459984706406,2010,0.751,0.731,0.707,0.82,,,,,,5595.0,337,300,9.0,224.0,2024.0,649.4923628056213,39.12045152198291,34.825327764376475,1.0447598329312944,26.0029113974011,234.95487798365997,463.00613611354606,37.18503459723595,40.27726894883785,0.40706497814921544
