ibge_id;dependencia_id;ciclo_id;ano;ideb;fluxo;aprendizado;nota_mt;nota_lp
41;0;EM;2019;4,7;0,9074;5,1629;293,3;290,85
41;2;EM;2019;4,4;0,8974;4,8514;280,8;281,77
41;4;EM;2019;6,4;0,9777;6,5941;350,74;332,56
42;0;EM;2019;4,2;0,829;5,0127;289,56;284,32
42;2;EM;2019;3,8;0,7957;4,7614;279,58;276,9
42;4;EM;2019;6,2;0,9658;6,3717;343,55;324,45
43;0;EM;2019;4,2;0,8249;5,1187;291,41;289,67
43;2;EM;2019;4;0,809;4,8887;282,16;282,98
43;4;EM;2019;6,1;0,9636;6,2803;337,92;323,63
50;0;EM;2019;4,2;0,8568;4,9602;285,41;284,71
50;2;EM;2019;4,1;0,8525;4,7789;278,13;279,43
50;4;EM;2019;6,1;0,9671;6,2807;338,29;323,31
51;0;EM;2019;3,6;0,7915;4,5681;271,33;271,73
51;2;EM;2019;3,4;0,7662;4,3752;263,72;265,98
51;4;EM;2019;6,1;0,9724;6,2567;337,96;322,01
52;0;EM;2019;4,8;0,9325;5,1432;291,79;290,95
52;2;EM;2019;4,7;0,946;4,935;282,93;285,35
52;4;EM;2019;6;0,9601;6,228;338,02;320,04
53;0;EM;2019;4,5;0,8653;5,2341;296,45;292,65
53;2;EM;2019;4;0,8345;4,7513;276,57;279,05
53;4;EM;2019;6,2;0,9644;6,4206;345,36;326,02
11;0;EM;2021;4,1;0,8986;4,5287;267,67;272,53
11;2;EM;2021;3,9;0,8858;4,4573;265,13;270,14
11;4;EM;2021;5,5;0,9446;5,7906;312,56;314,71
12;0;EM;2021;4;0,8675;4,6031;269,13;276,13
12;2;EM;2021;3,9;0,8627;4,5026;265,32;272,99
12;4;EM;2021;6,1;0,989;6,1422;327,16;324,5
13;0;EM;2021;3,7;0,9165;4,03;248,03;257,64
13;2;EM;2021;3,6;0,9158;3,9663;245,54;255,72
13;4;EM;2021;5,2;0,9694;5,3181;297,55;297,23
14;0;EM;2021;4;0,8991;4,3988;263;268,23
14;2;EM;2021;3,7;0,862;4,3129;259,99;265,32
14;4;EM;2021;5,8;0,9873;5,8387;313,47;317,07
15;0;EM;2021;3,2;0,769;4,1016;250,81;259,82
15;2;EM;2021;3;0,7502;3,9768;246,26;255,75
15;4;EM;2021;5,4;0,9912;5,4018;298,21;302,2
16;0;EM;2021;3,3;0,7736;4,2784;256,16;266,61
16;2;EM;2021;3,1;0,7503;4,1748;251,96;263,63
16;4;EM;2021;5,1;0,9823;5,2172;294,17;293,66
17;0;EM;2021;4,2;0,9531;4,4358;265,96;267,93
17;2;EM;2021;4,1;0,9565;4,3228;261,32;264,73
